hostname,ra,dec,sy_dist,st_spectype,st_teff,st_rad
"bet Pic",86.8212337,-51.0661480,19.74420000,"A5V",8038.68,1.544160
"HD 40307",88.5172191,-60.0237289,12.93630000,"K2.5 V",4956.00,0.716684
"PDS 70",212.0421402,-41.3980405,113.06400000,"K7",4109.00,1.260000
"HD 110067",189.8392243,20.0273377,32.15850000,"K0.0 V",5266.00,0.788000
"HR 8799",346.8701486,21.1340376,41.24410000,"A5 V",7204.58,1.493380
"TOI-178",7.3020115,-30.4541159,62.69900000,"K",4316.00,0.662000
"GJ 436",175.5505363,26.7030669,9.75321000,"M2.5 V",3586.11,0.455000
"GJ 486",191.9815310,9.7494181,8.07426000,"M3.5 V",3317.00,0.324300
"HD 73583",129.6883026,-13.2565267,31.56660000,"K4 V",4511.00,0.650000
"HR 8799",346.8701486,21.1340376,41.24410000,"A5 V",7204.58,1.493380
"Kepler-296",286.5400278,49.4372614,167.00000000,"M2 V",3740.00,0.480000
"Proxima Cen",217.3934657,-62.6761821,1.30119000,"M5.5 V",2900.00,0.141000
"GJ 887",346.5027573,-35.8473489,3.28679000,"M1 V",3688.00,0.468000
"Barnard's star",269.4486144,4.7379808,1.82655000,"M3.5-4 V",3195.00,0.185000
"HR 8799",346.8701486,21.1340376,41.24410000,"A5",7400.00,1.493380
"Kepler-51",296.4797624,49.9376486,783.83100000,,6018.00,0.940000
"GJ 3090",20.4384281,-46.7147234,22.47510000,"M2 V",3707.00,0.516000
"GJ 3929",239.5775678,35.4081141,15.80950000,"M3.5 V",3384.00,0.320000
"HD 3167",8.7401487,4.3807215,47.28990000,"K0 V",5261.00,0.880000
"HD 110067",189.8392243,20.0273377,32.15850000,"K0.0 V",5266.00,0.788000
"GJ 180",73.4600970,-17.7761940,11.94070000,"M3",3371.00,0.413049
"GJ 581",229.8564725,-7.7226935,6.29810000,"M3.0 V",3500.00,0.302000
"Kepler-51",296.4797624,49.9376486,783.83100000,,5674.00,0.870000
"HR 8799",346.8701486,21.1340376,41.24410000,"A5 V",7204.58,1.493380
"GJ 3323",75.4868824,-6.9485133,5.37484000,"M4",3159.00,0.119000
"GJ 682",264.2610245,-44.3232519,5.00671000,"M3.5 V",3028.00,0.298255
"GJ 876",343.3239737,-14.2665958,4.67517000,"M2.5V",3293.74,0.300000
"YZ Cet",18.1330792,-16.9962434,3.71207000,"M4.5 V",3151.00,0.157000
"Barnard's star",269.4486144,4.7379808,1.82655000,"M3.5-4 V",3195.00,0.185000
"KOI-351",284.4334642,49.3051239,848.25400000,,6080.00,1.200000
"HD 260655",99.2915429,17.5662696,10.00550000,"M0 V",3803.00,0.439000
"GJ 849",332.4229938,-4.6408317,8.80058000,"M3.5",3467.00,0.450000
"GJ 367",146.1214640,-45.7790165,9.41263000,"M1.0 V",3522.00,0.458000
"GJ 832",323.3912616,-49.0125169,4.96435000,"M2/3 V",3472.00,0.441557
"KOI-351",284.4334642,49.3051239,848.25400000,,6080.00,1.200000
"TOI-178",7.3020115,-30.4541159,62.69900000,"K",4316.00,0.662000
"HD 219134",348.3372026,57.1696255,6.53127000,"K3 V",4699.00,0.778000
"TRAPPIST-1",346.6263919,-5.0434618,12.42988881,"M8.0 V",2566.00,0.119200
"HD 15337",36.8678846,-27.6361171,44.81550000,"K1 V",5131.00,0.855000
"Kepler-62",283.2125621,45.3496992,300.87400000,"K2 V",4925.00,0.640000
"55 Cnc",133.1468373,28.3298154,12.58550000,"G8 V",5198.00,0.980000
"K2-18",172.5601410,7.5878315,38.02660000,"M2.5 V",3457.00,0.411000
"Kepler-37",284.0592503,44.5183733,63.92070000,,5357.00,0.789000
"L 98-59",124.5328604,-68.3144658,10.61940000,"M3 V",3415.00,0.315500
"GJ 667 C",259.7510609,-34.9977651,7.24396000,"M1.5 V",3350.00,
"55 Cnc",133.1468373,28.3298154,12.58550000,"G8 V",5198.00,0.980000
"GJ 625",246.3557854,54.3033625,6.47249000,"M2",3499.00,0.310000
"HD 110067",189.8392243,20.0273377,32.15850000,"K0.0 V",5266.00,0.788000
"AU Mic",311.2911369,-31.3424500,9.72210000,"M1 V",3540.00,0.862000
"Barnard's star",269.4486144,4.7379808,1.82655000,"M3.5-4 V",3195.00,0.185000
"HD 260655",99.2915429,17.5662696,10.00550000,"M0 V",3803.00,0.439000
"Teegarden's Star",43.2691449,16.8649024,3.83078000,"M7.0 V",3034.00,0.120000
"GJ 667 C",259.7510609,-34.9977651,7.24396000,"M1.5 V",3350.00,
"Kepler-1649",292.5029676,41.8299933,92.19130000,,3240.00,0.231700
"Kepler-296",286.5400278,49.4372614,167.00000000,"M2 V",3740.00,0.480000
"GJ 876",343.3239737,-14.2665958,4.67517000,"M2.5V",3293.74,0.300000
"Kepler-444",289.7528323,41.6318840,36.43960000,"K",5046.00,0.752000
"GJ 1214",258.8313991,4.9606795,14.64270000,"M4 V",3101.00,0.216200
"L 98-59",124.5328604,-68.3144658,10.61940000,"M3 V",3415.00,0.315500
"GJ 1132",153.7090696,-47.1549358,12.61300000,"M4.5 V",3229.00,0.221100
"Kepler-138",290.3814122,43.2930645,66.86240000,"M1 V",3841.00,0.535000
"Teegarden's Star",43.2691449,16.8649024,3.83078000,"M7.0 V",3034.00,0.120000
"HD 110067",189.8392243,20.0273377,32.15850000,"K0.0 V",5266.00,0.788000
"GJ 3929",239.5775678,35.4081141,15.80950000,"M3.5 V",3384.00,0.320000
"AU Mic",311.2911369,-31.3424500,9.72210000,"M1 V",3678.00,0.744000
"Kepler-296",286.5400278,49.4372614,167.00000000,"M2 V",3740.00,0.480000
"Kepler-444",289.7528323,41.6318840,36.43960000,"K",5046.00,0.752000
"K2-18",172.5601410,7.5878315,38.02660000,"M2.5 V",3457.00,0.411000
"GJ 887",346.5027573,-35.8473489,3.28679000,"M1 V",3688.00,0.468000
"HD 209458",330.7950219,18.8842419,48.30160000,"G0 V",6091.00,1.190000
"Kepler-444",289.7528323,41.6318840,36.43960000,"K",5046.00,0.752000
"GJ 887",346.5027573,-35.8473489,3.28679000,"M1 V",3688.00,0.468000
"LHS 1140",11.2486320,-15.2741085,14.98610000,"M4.5 V",3096.00,0.215900
"Kepler-296",286.5400278,49.4372614,167.00000000,"M2 V",3740.00,0.480000
"Kepler-51",296.4797624,49.9376486,783.83100000,,6018.00,0.940000
"PDS 70",212.0421402,-41.3980405,113.06400000,"K7",4109.00,1.260000
"HD 219134",348.3372026,57.1696255,6.53127000,"K3 V",4699.00,0.778000
"Teegarden's Star",43.2691449,16.8649024,3.83078000,"M7.0 V",3034.00,0.120000
"TRAPPIST-1",346.6263919,-5.0434618,12.42988881,"M8.0 V",2566.00,0.119200
"Kepler-20",287.6979913,42.3385782,282.56300000,,5495.00,0.916400
"HD 3167",8.7401487,4.3807215,47.28990000,"K0 V",5261.00,0.880000
"TRAPPIST-1",346.6263919,-5.0434618,12.42988881,"M8.0 V",2566.00,0.119200
"GJ 667 C",259.7510609,-34.9977651,7.24396000,"M1.5 V",3350.00,
"Kepler-37",284.0592503,44.5183733,63.92070000,,5357.00,0.789000
"GJ 849",332.4229938,-4.6408317,8.80058000,"M3.5",3467.00,0.450000
"HD 219134",348.3372026,57.1696255,6.53127000,"K3 V",4699.00,0.778000
"K2-138",348.9490311,-10.8497391,202.58500000,"G8 V",5356.30,0.863000
"GJ 433",173.8619194,-32.5436302,9.06456000,"M2V",3461.00,0.500000
